Características de la Población a 1 de enero;;;;;;;;;;;;;;;
 Indicadores de la estructura demográfica;;;;;;;;;;;;;;;
;Densidad (Habitantes/Ha.);Edad promedio;Edad mediana;Proporción de juventud;Proporción de envejecimiento;Proporción de sobreenvejecimiento;Índice de envejecimiento;Índice de juventud;Índice de dependencia;Índice de estructura de la población activa;Índice de Reemplazo de la población activa;Razón de progresividad demográfica;Proporción de extranjeros;Proporción de nacidos fuera de España;Proporción de inmigrantes extranjeros
1 de enero de 2018;;;;;;;;;;;;;;;
     Ciudad de Madrid;;;;;;;;;;;;;;;
          046. Castellana;219,11;45,28;44,36;11,70;23,03;34,54;196,92;50,78;53,20;100,09;50,50;111,59;15,51;23,66;8
     05. Chamartín;;;;;;;;;;;;;;;
          05. Chamartín;157,91;45,31;45,05;13,87;23,16;36,40;166,93;59,91;58,82;83,18;50,87;108,33;9,09;15,68;5,29
          051. El Viso;100,31;44,27;44,25;14,33;21,47;36,81;149,82;66,75;55,76;87,35;61,10;118,61;10,58;17,54;5,77
          052. Prosperidad;351,15;46,55;46,12;11,43;24,66;32,95;215,74;46,35;56,48;86,51;38,69;112,70;9,68;16,45;6,13
          053. Ciudad Jardín;242,51;45,76;45,15;12,48;23,01;36,62;184,32;54,25;55,03;84,65;41,32;116,57;11,29;19,15;7,18
          054. Hispanoamérica;183,20;45,86;45,99;15,07;24,61;39,03;163,25;61,26;65,78;75,12;53,11;107,58;6,70;12,56;3,52
          055. Nueva España;136,84;43,23;43,20;17,18;20,93;35,73;121,86;82,06;61,58;79,75;71,68;98,77;9,02;15,52;4,88
          056. Castilla;78,06;45,15;44,90;13,19;22,33;39,55;169,23;59,09;55,09;90,24;50,94;101,68;8,40;14,33;4,81
     06. Tetuán;;;;;;;;;;;;;;;
          06. Tetuán;290,19;44,17;42,76;12;19,57;39,33;163,17;61,28;46,13;95,78;54,91;112,93;18,05;28,50;14,25
