Vertice,C,254;Hoja_MTN,C,50;Situacion,C,254;Señal,C,254;Referencia,C,50;Referenc_1,C,50;Referenc_2,C,50;Referenc_3,C,50;X_ED50,N,19,11;Y_ED50,N,19,11;X_ETRS89,N,19,11;Y_ETRS89,N,19,11;Z_Ortometr,N,19,11;Altura,N,19,11;AzmVert1Vi,C,50;Nombre1Vis,C,50;AzmVert2Vi,C,50;Nombre2Vis,C,50;AzmVert3Vi,C,50;Nombre3Vis,C,50;AzmVert4Vi,C,50;Nombre4Vis,C,50;Año,N,9,0;Fecha,D
8638;559;Está en el interior de una zona urbanística en obras del Ayuntamiento de Leganés a 1.09 mts. al Sur de un vallado metálico. Se encuentra a unos 180 mts. al S.E. del centro de la rotonda de la M-40 con la Ctra. De Leganés M-425.;Clavo Reglamentario.;Barrote valla 4.87;Barrote valla 1.28;Barrote valla 3.36;Perpendicular valla metálica 1.09;436989,098;4468239,657;436879,615;4468032,213;635,762;686,808;;6986;;631;;8011;;8184;2006;30/06/2006
8639;559;Está en el interior de la finca de Talleres Montejano, anexo a la estación de servicio que tiene entrada desde la M-421, el mojón está al fondo, en la zona Oeste al lado de un camino particular próximo a la valla de cerramiento.;Clavo Reglamentario.;Barrote valla 7.79;Barrote valla 6.68;Barrote valla 7.07;Esquina mojón viejo caido 1.05;435769,813;4467893,807;435660,33;4467686,374;661,919;712,96;;6987;;6988;;2800;;633;2006;30/06/2006
8640;559;Está en medio de un lindazo entre tierras de secano, a unos 30 mts. del camino de servicio Sur de la M-40 y M-45, a la altura del P.K. 29.;Clavo Reglamentario.;Vigueta en linde 3.99;;;;435046,155;4468067,136;434936,676;4467859,708;677,678;728,717;;639;;2802;;Iglesia Leganés;;;2006;30/06/2006
8642;559;Está en la acera Sur del ramal que une la M-40 con el enlace de Cuatro Vientos - La Fortuna. A la altura del P.K. 29.900.;Clavo Especial M289.;Farola 1.83;Borde tapa alcantarilla 10.57;Perpendicular bordillo acera 1.62;Perpendicular muro 0.18;434158,371;4468359,244;434048,898;4468151,823;672,198;723,235;;6989;;2803;;;;;2006;30/06/2006
9422;559;Está en el solar más al S.E. del Centro de Trasmisiones del Ejercito del Aire, a 5.90 m del muro que separa de la M-40 antigua, ahora enlace de la M-40 con la N-V. Tiene visivilidad con los mojones desaparecidos M-295=A-4 y M-296=A-5.;Clavo en plataforma de hormigón.;Llaca muro 11.08;Esquina contrafuerte 5.91;Llaca en muro 13.74;;432182,655;4468461,361;432073,191;4468253,952;700,572;751,605;;9423;;9004;;;;;2006;30/06/2006
M002;559;En la boca de metro Diego de León, en el acceso a Francisco Silvela (pares).;Clavo Reglamentario.;Esquina bordillo   0.87;Esquina bordillo   0.88;Esquina bordillo   1.58;Esquina bordillo   1.58;443039,64;4476264,321;442930,257;4476056,775;688,67;739,678;;9316;;9373;;N005;;;2006;30/06/2006
6681;559;En la base de la farola que está en el lado Sur de la M-11 en el pk 7+395. La señal está a unos 200 metros al Oeste de un puente en construcción y al Sur de un poste publicitario negro.;Clavo Reglamentario.;Poste de bionda 2.77;Poste de bionda 2.15;Farola 0.74;Señal-hito km 5.87;449416,738;4480198;449307,358;4479990,401;643,99;695,01;;6680;;9183;;6682;;;2006;30/06/2006
6682;559;En la esquina Noroeste de la base de hormigón del cartel informativo situado en el lados Sur de la M-11, a la altura del pk 8+010. En la cabeza del talud hay mamparas de cristal verde.;Clavo Reglamentario.;Hito kilométrico 7.18;Poste de bionda 3.75;Poste de bionda 6.50;Esquina poste metálico 1.36;449924,573;4480147,699;449815,19;4479940,094;637,601;688,621;;6681;;1807;;;;;2006;30/06/2006
6683;559;En bordillo de glorieta. Saliendo por la M-11 por la salida de la Ciudad Deportiva tomamos en la primera glorieta la salida a Ifema. Encontramos el vértice en la segunda glorieta, en el bordillo de la acera.;Clavo Reglamentario.;Señal 1.69;Esquina bordillo 0.50;Normal a bordillo interior 2.89;Normal a bordillo exterior 0.09;448144,277;4480474,017;448034,908;4480266,431;668,428;719,45;;6684;;9;;;;;2006;30/06/2006
6687;559;Empotrado en bordillo de acera. Junto a glorieta en Ifema, a la altura del desvío de la Gran Vía de Hortaleza, en la M-40.;Clavo Reglamentario.;Registro de alumbrado 2.92;Farola 2.32;Normal a bordillo interior 2.67;Normal a bordillo exterior 0.08;447149,488;4480194,754;447040,123;4479987,177;682,041;733,065;;6686;;6688;;1784;;;2006;30/06/2006
